test_launch_id,recruitment_step_id,candidate_id,sent_at,valid_until,token,started_test,status,test_version_id,score_result,counter,ip,user_agent,finished_at,demo,selected,last_action,distance,cod_pendencia_vagas,data_pendencia_vagas,reliability_score,reliability_color,reused,cod_vaga_vagas,time_used,favorite,hit_percentage,failed_send_error,candidate_results_token,candidate_results_token_created_at,can_answer_test_again,self_evaluation,custom_time,recruitment_candidate_average_id,random_test_questions,position,score_redaction,candidate_id,recruitment_step_id
634666,33799,630045,2019-10-14 10:03:34.000000,2021-08-16 00:00:00.000000,EEJlB93yKMe0CfJOtNds2BPSLNMddn,2019-10-15 10:22:40.000000,6,6154,2,1,191.162.206.66,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.120 Safari/537.36",2019-10-16 23:00:07.000000,false,,2019-10-16 23:00:07.000000,,,,,,false,,293,false,2,,,,false,false,0,340234,,3574,,630045,33799
854018,44068,724646,2020-11-09 10:06:50.000000,2020-11-30 23:59:59.000000,rQbibLynv9dysgtjbABRhGmX9Smofu,2020-11-09 13:39:48.000000,4,10930,7,1,179.113.185.132,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:82.0) Gecko/20100101 Firefox/82.0,2020-11-09 13:55:46.000000,false,,2020-11-09 13:55:46.000000,,,,15,green,false,,958,false,33.3,,,,false,false,0,480368,2528,5917,,724646,44068
223734,3014,114493,2018-06-18 11:48:03.000000,2018-06-25 00:00:00.000000,f8TKOefG8S36Y4oh6o6zokPZ2Dp3T7,2018-06-19 00:40:51.000000,4,1898,8,1,192.168.1.248,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",2018-06-19 00:53:25.000000,false,,2018-06-19 00:53:25.000000,,96179559,2018-06-15 20:08:45.000000,23.142857142857,green,false,1710112,1251,false,25,,,,false,false,0,66870,,9119,,114493,3014
854081,44068,680944,2020-11-09 10:12:59.000000,2020-11-30 23:59:59.000000,CkMRbTGcejbqANL1kTCGxWzenw4Yfk,2020-11-11 09:23:43.000000,4,10930,11,1,189.12.107.216,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.183 Safari/537.36",2020-11-11 09:34:14.000000,false,,2020-11-11 09:34:14.000000,,,,3,green,false,,629,false,50,,,,false,false,0,480338,2592,3071,,680944,44068
586056,33799,612722,2019-09-12 20:36:42.000000,2021-08-16 00:00:00.000000,SNTaMTeHkPWfC275zza31W9n0oS9o6,2019-09-13 11:08:34.000000,6,6154,0,1,179.93.245.69,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.75 Safari/537.36",2019-10-06 13:57:23.000000,false,,2019-10-06 13:57:23.000000,,,,,,false,,10129,false,0,,,,false,false,0,16418,,5479,,612722,33799
853917,44069,724583,2020-11-09 09:47:59.000000,2020-11-30 23:59:59.000000,Qd4zKjDp7a1SdbPHorOWcIebOUVxPY,2020-11-15 22:28:20.000000,4,10931,25,1,177.39.126.206,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.193 Safari/537.36",2020-11-15 22:56:27.000000,false,,2020-11-15 22:56:27.000000,,,,251.84415584416,red,false,,1686,false,90,,,,false,false,0,480292,2651,389,,724583,44069
224748,3014,115050,2018-06-18 14:46:27.000000,2018-06-25 00:00:00.000000,S6XIVdYQ2InG4nFC3aynesWgp5MywC,2018-06-19 17:03:13.000000,4,1898,9,1,192.168.1.248,"Mozilla/5.0 (iPad; CPU OS 10_3_3 like Mac OS X) AppleWebKit/603.1.30 (KHTML, like Gecko) CriOS/66.0.3359.122 Mobile/14G60 Safari/602.1",2018-06-19 17:15:55.000000,false,,2018-06-19 17:15:55.000000,,96179877,2018-06-15 20:08:53.000000,33,green,false,1710112,763,false,30,,,,false,false,0,67254,,8187,,115050,3014
226343,3014,73349,2018-06-18 20:39:14.000000,2018-06-25 00:00:00.000000,WqY13o05YbfGnVQMh4C9qhBOfDueZE,2018-06-19 17:25:45.000000,4,1898,4,1,192.168.1.248,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",2018-06-19 17:45:05.000000,false,,2018-06-19 17:45:05.000000,,96181664,2018-06-18 16:47:04.000000,10,green,false,1710112,1161,false,20,,,,false,false,0,61577,,11608,,73349,3014
228335,3024,118845,2018-06-18 23:34:32.000000,2018-06-25 00:00:00.000000,PgocRIRYRWCGVRK1lZ2MIlVvoIP07g,2018-06-19 20:55:27.000000,4,2642,18,1,192.168.1.248,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",2018-06-19 21:07:58.000000,false,,2018-06-19 21:07:58.000000,,96173646,2018-06-15 20:03:48.000000,56.035087719298,red,false,1710112,752,false,60,,,,false,false,0,68734,,1843,,118845,3024
229686,3024,119713,2018-06-19 01:34:11.000000,2018-06-25 00:00:00.000000,usaeW3tOREb977p6fddYe1yDN0wde5,2018-06-19 01:39:11.000000,4,2642,18,1,192.168.1.248,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36",2018-06-19 01:52:11.000000,false,,2018-06-19 01:52:11.000000,,96174411,2018-06-15 20:04:12.000000,8.2631578947368,green,false,1710112,780,false,60,,,,false,false,0,69101,,2131,,119713,3024
